电信组播,#genre#
济宁综合,http://192.168.3.119:12123/udp/239.21.2.19:5002
济宁公共,http://192.168.3.119:12123/udp/239.21.2.20:5002
济宁生活,http://192.168.3.119:12123/udp/239.21.1.139:5002
任城-1,http://192.168.3.119:12123/udp/239.21.2.143:5002
任城-2,http://192.168.3.119:12123/udp/239.21.2.144:5002
济宁高新,http://192.168.3.119:12123/udp/239.21.2.83:5002
嘉祥综合,http://192.168.3.119:12123/udp/239.21.2.84:5002
曲阜综合,http://192.168.3.119:12123/udp/239.21.1.225:5002
兖州新闻,http://192.168.3.119:12123/udp/239.21.1.224:5002
邹城综合,http://192.168.3.119:12123/udp/239.21.1.185:5002
梁山综合,http://192.168.3.119:12123/udp/239.21.2.12:5002
鱼台综合,http://192.168.3.119:12123/udp/239.21.2.134:5002
鱼台生活,http://192.168.3.119:12123/udp/239.21.2.135:5002
崂山,http://192.168.3.119:12123/udp/239.21.2.122:5002
黄岛综合,http://192.168.3.119:12123/udp/239.21.2.57:5002
黄岛生活,http://192.168.3.119:12123/udp/239.21.2.58:5002
胶州综合,http://192.168.3.119:12123/udp/239.21.2.60:5002
莱西综合,http://192.168.3.119:12123/udp/239.21.1.247:5002
平度新闻,http://192.168.3.119:12123/udp/239.21.1.228:5002
烟台综合,http://192.168.3.119:12123/udp/239.21.1.116:5002
烟台经济,http://192.168.3.119:12123/udp/239.21.1.205:5002
烟台影视,http://192.168.3.119:12123/udp/239.21.1.204:5002
蓬莱综合,http://192.168.3.119:12123/udp/239.21.2.56:5002
龙口综合,http://192.168.3.119:12123/udp/239.21.2.146:5002
招远综合,http://192.168.3.119:12123/udp/239.21.2.145:5002
海阳综合,http://192.168.3.119:12123/udp/239.21.2.64:5002
海阳综艺,http://192.168.3.119:12123/udp/239.21.2.65:5002
长岛综合,http://192.168.3.119:12123/udp/239.21.2.52:5002
淄博新闻,http://192.168.3.119:12123/udp/239.21.1.84:5002
淄博影视,http://192.168.3.119:12123/udp/239.21.1.182:5002
淄川新闻,http://192.168.3.119:12123/udp/239.21.1.160:5002
德州综合,http://192.168.3.119:12123/udp/239.21.1.75:5002
德州经济,http://192.168.3.119:12123/udp/239.21.1.76:5002
宁津综合,http://192.168.3.119:12123/udp/239.21.2.50:5002
齐河综合,http://192.168.3.119:12123/udp/239.21.1.230:5002
武城综合,http://192.168.3.119:12123/udp/239.21.1.239:5002
武城综艺,http://192.168.3.119:12123/udp/239.21.1.240:5002
禹城综合,http://192.168.3.119:12123/udp/239.21.1.241:5002
禹城综艺,http://192.168.3.119:12123/udp/239.21.1.242:5002
平原综合,http://192.168.3.119:12123/udp/239.21.1.243:5002
夏津综合,http://192.168.3.119:12123/udp/239.21.1.106:5002
夏津公共,http://192.168.3.119:12123/udp/239.21.1.102:5002
陵城综合,http://192.168.3.119:12123/udp/239.21.2.24:5002
临邑综合,http://192.168.3.119:12123/udp/239.21.2.130:5002
潍坊综合,http://192.168.3.119:12123/udp/239.21.1.77:5002
潍坊经济,http://192.168.3.119:12123/udp/239.21.1.78:5002
潍坊综艺,http://192.168.3.119:12123/udp/239.21.2.88:5002
潍坊科教,http://192.168.3.119:12123/udp/239.21.2.89:5002
潍坊高新,http://192.168.3.119:12123/udp/239.21.2.131:5002
昌乐综合,http://192.168.3.119:12123/udp/239.21.1.245:5002
昌邑综合,http://192.168.3.119:12123/udp/239.21.2.27:5002
青州综合,http://192.168.3.119:12123/udp/239.21.1.232:5002
青州文旅,http://192.168.3.119:12123/udp/239.21.1.231:5002
寿光蔬菜,http://192.168.3.119:12123/udp/239.21.1.218:5002
高密综合,http://192.168.3.119:12123/udp/239.21.2.59:5002
安丘综合,http://192.168.3.119:12123/udp/239.21.2.13:5002
临朐综合,http://192.168.3.119:12123/udp/239.21.2.62:5002
滨州综合,http://192.168.3.119:12123/udp/239.21.1.238:5002
沾化综合,http://192.168.3.119:12123/udp/239.21.1.226:5002
阳信综合,http://192.168.3.119:12123/udp/239.21.1.252:5002
无棣综合,http://192.168.3.119:12123/udp/239.21.1.214:5002
邹平综合,http://192.168.3.119:12123/udp/239.21.1.238:5002
广饶综合,http://192.168.3.119:12123/udp/239.21.1.193:5002
单县综合,http://192.168.3.119:12123/udp/239.21.2.21:5002
巨野新闻,http://192.168.3.119:12123/udp/239.21.1.215:5002
定陶综合,http://192.168.3.119:12123/udp/239.21.1.244:5002
郓城综合,http://192.168.3.119:12123/udp/239.21.1.251:5002

聊城综合,http://192.168.3.119:12123/udp/239.21.1.253:5002
